name,type,value,avgtval,avgman,country,time,core
24,新木乃伊,动作,62560,35,16,美国,2017-06-09,
25,神奇女侠,动作/奇幻,61010,36,16,美国,2017-06-02,


1,美人鱼,喜剧,339210,37,44,中国/中国香港,2016-02-08,
2,疯狂动物城,动画,153033,34,29,美国,2016-03-04,
3,魔兽,动作,147214,37,25,美国,2016-06-08,
4,美国队长3：英雄内战,动作,124625,35,25,美国,2016-05-06,
5,西游记之孙悟空三打白骨精,动作,120101,37,36,中国,2016-02-08,
6,湄公河行动,动作,118417,30,25,中国香港/中国,2016-09-30,
7,澳门风云3,喜剧,111818,36,36,中国/中国香港,2016-02-08,
8,盗墓笔记,奇幻,100439,35,27,中国,2016-08-05,
9,功夫熊猫3,动画,100200,36,25,中国/美国,2016-01-29,
10,长城,奇幻,97937,35,25,美国/中国,2016-12-16,
11,奇幻森林,奇幻,97933,34,24,美国,2016-04-15,
12,绝地逃亡,动作,88938,35,25,美国/中国香港/中国,2016-07-21,
13,星球大战：原力觉醒,科幻,82557,37,24,美国,2016-01-09,
14,从你的全世界路过,爱情,81417,31,22,中国,2016-09-29,
15,X战警：天启,动作,80284,34,23,美国,2016-06-03,
16,北京遇上西雅图之不二情书,爱情,78675,34,24,中国/中国香港,2016-04-29,
17,叶问3,动作,77028,39,23,中国/中国香港,2016-03-04,
18,奇异博士,奇幻,75165,35,18,美国,2016-11-04,
19,唐人街探案,喜剧,68262,32,31,中国,2015-12-31,
20,寒战2,动作,67819,37,27,中国香港/中国,2016-07-08,
21,惊天魔盗团2,动作,63890,33,27,美国,2016-06-24,
22,蝙蝠侠大战超人：正义黎明,动作,61908,36,23,美国,2016-03-25,
23,使徒行者,动作,60624,29,24,中国香港/中国,2016-08-11,
24,神奇动物在哪里,奇幻,58921,35,21,美国/英国,2016-11-25,
25,你的名字。,动画,56592,28,22,日本,2016-12-02,


